tweet,class
aliennation dont hold your breath,0
democracymanifest very incorrect the first amendment applies to citizens not any branch of government,0
you will die from a heart attack before ths happens,0
larjass lgrngreen rxwhitmer notice how she took off when it came down to actually having to defend gods word,0
catholica and he was given a one year suspended sentence hardly a deterrent,0
professorheisenberg and liberals use that same book and blast christians day and night falsely,0
toric but it has never been defined sarc,0
purelyrational u need a vision check u must have cataracts,0
democracymanifest you are falling in to communism and we will fight you we will never give in to it,0
hoorahamerica genetics has proven that information to be outdated i would suggest a nova series called the first ones it will fill you in on the latest information we have gotten from genetics,0
i visit this thread once in a while and see that the cons have nothing but to call names and continue to roll in their gutter i would think that the cons would grow up someday but that is only wishful thinking,0
now we have reverse discrimination big time because of this perceived problem that our dear leader intended to remedy by executive fiat just another reason why there should not be a federal department of education that doles out our own tax money and makes the states jump through hoops to get it dont you think enough is enough,0
nothing but bitter words from the skunkape no surprise there,1
honestly who is sharon i dont get the joke,0
killterrists that joke was brough up earlier but later deleted its an old one but props on bringing it up during the olympics that makes it more contemporary,0
turnhearts thats awsome i hope the boycott ruins that states finances and the current ag becomes ncs next govener,0
time to vote out those who would put illegal aliens before the citizens of this country,1
democracymanifest thats not true the first amendment applies to all citizens it does not apply to any branch of the government,0
wisdomkittywhat will be the next drug,0
there is no entity in america that will ever oppress my amendment right which also includes any individual in government office obama by ordering retail outlets to stop sales of a flag has become a domestic enemy of the amendment,0
jeffrey dahmer was in the army how about naming a base after him,0
professorheisenberg they dumped carter because he couldnt resolve the hostage crisis and inflation was out of controlafter he was in office four years now why are they going to dump hillary,0
when have i said to mess with a bathroom,0
liberalstupidity and its the reasonone of them anyway that some muzlim countries do not even allow one of these scumbags into their country not one they knew what would happen with these uncivilized animals and what they would do and they did exactly,1
first lady are you serious looks like a retired linebacker of the nfl,1
freedomscout rxwhitmer trangenderism is real does it mean someones gender has actually changed no but that doesnt make it less real you mention evil effects what are they be specific not just something like its evil or wrong,0
lettermansinc i want a bumper sticker with moochelles face stating does this make my truck look fat,1
name calling poor little pc cupcakes cant bring themselves to mention radical islam terrorist,1
its youre you write like a fifthgrader and sound like one as well,0
sampatch indicthillary after you pay the to access it i will,0
seanreed give us all your money so we can make you rich and independent,0
professorheisenberg monica lewinski lol,1
remember this tramp is part of the most transparent administration ever maybe she can play the race card again,1
so what you say is pro perversion then,0
carpenoctem thats just people trying to spin it like its being ban,0
gilshuttlecok whats a hoplophobe someone that hates bunnies,0
