tweet,class
its very sad we lost our jawans army should have taken action at same time why should army wait for idiotic politicians decisions and advice due to senseless politicians we are losing lifes of jawans surfical strike is done by our brave solders with the guidence of our senior officers none of officers or solders name came on headlines except politicians still political using its for political gains thls leaders should spend hour on border then they realise,0
now the bhakts will try to ban her on cnbc,0
are petrol ke price ke baare mein bolne kuchen nahi kya india is using the costliest petrol,0
dogs are considered impure in the dangerous ideology followed by azam khan whose ancestors were forcefully converted for us normal people dogs are mans loyal friend ðÿ˜šðÿ˜šðÿ‘ðÿ‘,1
macchi u people only be licking congress shoes b cos for vote bank they licking us if ur terrorists also,1
what a bold statement to give for this self claimed feminist societymore power to her,1
shaik abdul people like you want spoon feeding you guys dont even want to move a finger to help people like you are eating this country up,1
why we celebrate only we have fasi to kasabthis is not enough we need to find out those people who create the kasab and more like him so rather then celebration think for remove terrorist from bottom of earth this is not time for celebration this is the war and war is not end as kasab fasi this is just beginning,0
i think they are displaying wrong title its dont look like bike launch,0
even pattewala of kejriwal will be better than kejriwal look how many times kejriwal has regretted his decision thank god he did not become surgeon or pilot,1
imagine of someone posted nazism or fascism for the futtre pathetic,1
i didnt notice any thing offensive towards any one in particular he has vent his mind on governance both centre and state,0
sasikala is the right choice as cm tamil nadu,0
may be she has given secretly how do u knw tat she iz nt concerned abt it n itz her wish to give or nt itz her money government has enough to serve pple for any calamity so i wish her good luck as she iz talented n work too much to earn dis position,0
wakeup call for bjp dont give importance to corrupt congi leaders,1
everything is not gau rakshak but killing people in the name of cow is gau rakshak is all about and who told you that killing cow is illegal in constitution dont have knowledge than its better to be quiet its illegal only in the mind of people like u n supreme court has also directed such people that u cant direct people what to eat n what not to eat,1
what about our soldiersno organization comes forward to support our soldierss family when they required mostits really shame on those,0
saysiamaproudchutiyawhodoentknowshitabouthistory u open your mouth only to become a laughing stock go read some real history not the brainwashed kind then you will appreciate the pigsty that is pakistan,1
baba starts a new comedy dialogue planted by modi govt shame,1
people with problem of diffrent religion s should go on moon,1
yes pakistan is ultra superpower which can disobey the verdict,1
under rajnath police even his state president is not securethey talk of eip bluff masters,1
we all r with u sir but may i know who is suffering now,1
he yogeshwar thrai mam thrai mam convent schools are extracting admission fees of rs to for a simple standard students pl do something by making any squad to control all these cheating habits by missionary administrations for example proof st peter school is asking rs admission fee for standard and quarterly fees is additional yes you can stop it,0
that will be sensible decision by trump if he start negotiations with north korea instead of making threats of war you cannot underestimate country with nuclear weapons this is not syria afghanistan where you can test your bombs even there they have not achieved anything substantial except innocent killings,1
u know that buffalow meat is a perfect meatim right yummy,0
hahahahaha brilliant was wondering why i keep getting wound up,1
satarupa pal you stupid i am not in fact you copper chamchma of modi and therefore you are not able to the constructive criticism,1
politics isnt for the honest this is incredible new india we all should be ashamed of longliverevolution,1
he is right as he follows a donkeyso having brain and smartness is completely ruled outwho needs harvard when you have patanjali,1
how pakistan army caught them pakistan army cross border or they came here to pakistan the most lier nation is endian,0
dude be precised hard work in right direction otherwise it only deteriorates you developing into psychosis fact,0
before i use to watch times now but seems now they are biased and the fun of watching of that channel is gone now,0
it would be more appropriate to levy a fee to enter the banks branchatm,0
trump goona clean terotist like isis u think him racist,1
obviously havent read about turning the other cheek funny kind of christian fellow,1
its the same world wide fight from nation to nation all caused by islamic hate,1
ankit prasad forget about banning us remember we are not afraid of such type of banns,1
could of bought south africa for that think the guptas got a bargain,1
fake publisity nothing else,1
bjps arrogance and who is responsible people in millions hv voted for modi nw face d music,1
subramaniam has a grudge that he was not made a fm,0
hi sonia anujjipls throw some light on pharma sector r d rates not appealing,0
a person whose nothing without electricity and loudspeakers may allah swt forgive u for your ignoranceand guide u to accept islam i pray one day muslims wake up to hear your beautiful voice saying the azaan,1
mental status of equating some sings played in navarathri once in a year to everyday loud speaker calling for azan five times a day is simple a mental bancrupcy of so called liberals they would anything and everything to defend illogical practices but will question every practice about hinduism that is why i call them so called liberals they are only liberals for some section not for majority,1
people in tamilnadu have some sort of inferiority complex i really dont know why and that is why they are so servile,1
rss people starts boiling when any body says about secularism and start giving their own bised definition of secularism this communal thought was first inducted by sarwarkar in the year in indian freedom straggle and and terminated at the birth of rss in along with another communal organisation muslim league these organisations seldom taken part in the straggle of india,1
wat does congress mean corruption parties for years,0
you should arrange an convention in los angeles gonna come there i have some questions regarding this,0
and also kindly ref our site httpwwwperscitustechcom for intraday shot term n investment calls,0
very surprising looking to tatas track record one should wait till the details to come out before reaching to any conclusions,0
is this the right time invest in pharma sector or wait for donald trumps new announcements,0
i am not agree on your statement,1
he was a loser like khujli who after cheating for his scholarship indulged in all kinds of red and green type of nonsense and chose the way out after realizing that he could not cope,1
good things does not want to realise by the rude kings,0
nonphysical banking transactions should be an option for general public specially in country like india,0
first dogs like digvijaya singh need to be put to sleep and then one must analyze what to do with pakistan,1
abid news for your country and just wait we will punish pakistan very badly,1
people wait in front of theatres in long queues to get tickets of their favourite celebrity movies they wait for so long to see their favourite celebrities everywhere possible cricketers movie stars etc why not for a good cause,0
retards around howering about ak jhahhaa,0
really sad to hear this one of the few respected gentlemen and eloquent speakerðÿ˜ÿ,0
hope he will take the tata into a new level chandrasekaran tata,0
incident really u bakhts r all blind drink cow urine and sleep bloody bakhts,1
every problem create new opportunity just u have to grab it gd initiative by big bazar,0
entertainment | who is your favourite bollywood mother,0
my dear vishesh films which is bhatts production bring kangana a star status to sm extent she is correct but als talking such rubbish is wrong she even herself is promoted by aditya pancholi,1
vijayan said the rss is opposed to the idea of secularism,1
some parents dont know how to bring up their children this is the one reasonthey r spoiling their childrens life without knowledgeparents anger could make their children to stay away from themshort temper parents very dangerous to their children,1
modi is great he does his homework very well and think for indian common mankeepit u we are not with you sir,1
seven of eight of saarc counriesis the part of great cpec project even whole globe wants to part of cpecbut a gelious india didnt to part of great progress of the region,0
what was their business oil black marketing bloody thieves just defaming islam,1
leave him alone he wants to get back to academics tomato dal beans and other veggie is bringing tears in our eyes and u want to extemd his term to ii what good has he done,1
